lat,long,aptos_por_local,local_de_votacao,zona_eleitoral_nro,bairro,endereco,secoes_eleitorais,zona_eleitoral_nome,secao,PT,PMDB,PSDB,PSD
-46.782837,-23.67145,2061.0,EMEF. JOSÉ OLYMPIO PEREIRA FILHO,20.0,COHAB ADVENTISTA,"TRAVESSA DA PASSAREIRA, 200, São Paulo",Da 331ª à 333ª; 342ª; 353ª; 366ª; 377ª; 393ª;,VALO VELHO,2827.0,331.0,65.0,106.0,51.0
-46.66177,-23.671303,5751.0,EM. ALFERES TIRADENTES,351.0,VILA JOANIZA,"RUA SALVADOR RODRIGUES NEGRAO, 602, São Paulo",Da 267ª à 278ª; 413ª; 465ª; 685ª; 727ª;,CIDADE ADEMAR,5560.0,866.0,252.0,508.0,380.0
-46.708572,-23.671299,3284.0,EMEF. PROF. ALMEIDA JUNIOR,280.0,SOCORRO,"RUA FRANCISCO MENDES, 238, São Paulo",Da 24ª à 32ª.,CAPELA DO SOCORRO,252.0,341.0,173.0,267.0,338.0
-46.749916,-23.67094,4024.0,EE. FRANCISCO DE PAULA VICENTE DE AZEVEDO,372.0,PARQUE BOLOGNE,"RUA JIVAROS, 72, São Paulo",298ª; 301ª; 306ª; 325ª; 374ª; 406ª; 445ª; 486ª; 516ª; 566ª; 617ª; 649ª;,PIRAPORINHA,5289.0,986.0,98.0,238.0,92.0
-46.764336,-23.670319,4971.0,EE. DEPUTADO JOÃO SUSSUMU HIRATA,373.0,JARDIM SAO JUDAS TADEU,"RUA COMENDADOR ANTUNES DOS SANTOS, 936, São Paulo",455ª; 480ª; 495ª; 502ª; 508ª; 512ª; 517ª; 521ª; 524ª; 528ª; 532ª; 534ª; 536ª; 540ª; 627ª;,CAPÃO REDONDO,7811.0,677.0,183.0,337.0,166.0
-46.665115,-23.670311,5883.0,EE. MARTINS PENA,351.0,AMERICANÓPOLIS,"RUA PROF. PAULO MANGABEIRA ALBERNAZ, 150, São Paulo",Da 15ª à 27ª; 355ª; 680ª;,CIDADE ADEMAR,1308.0,651.0,247.0,639.0,394.0
-46.714748,-23.670231,5513.0,EE. DOM DUARTE LEOPOLDO E SILVA,280.0,SOCORRO,"AVENIDA DE PINEDO, 577, São Paulo",Da 9ª à 23ª; 885ª;,CAPELA DO SOCORRO,1125.0,529.0,305.0,513.0,557.0
-46.657181,-23.669386,5852.0,EE. PROF. JOSE BAPTISTA RIOS CASTELLOES,351.0,V ERNA,"RUA ITATAS, 195, São Paulo",Da 378ª à 391ª; 692ª;,CIDADE ADEMAR,6075.0,799.0,267.0,535.0,421.0
-46.634701,-23.669359,5786.0,EMEF C.E.U. CAMINHO DO MAR,320.0,JD LOURDES,"AV. ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241, São Paulo",502ª; 504ª; Da 506ª à 507ª; 510ª; 515ª; 519ª; 522ª; 526ª; 530ª; 533ª; 536ª; 538ª; 541ª; 544ª; 555ª; 558ª; 562ª; Da 564ª à 565ª;,JABAQUARA,10637.0,869.0,188.0,517.0,200.0
-46.776878,-23.668604,3520.0,EMEF. PROF. RICARDO VITIELLO,20.0,COHAB ADVENTISTA,"RUA SOLIDARIEDADE, 200, São Paulo",Da 239ª à 249ª.,VALO VELHO,2684.0,604.0,119.0,243.0,82.0
-46.767254,-23.668405,7347.0,EE. PROFESSOR LEOPOLDO SANTANA,373.0,CAPAO REDONDO,"RUA MANOEL DUARTE OLIVEIRA, 151, São Paulo",Da 51ª à 67ª; 262ª; 280ª; 603ª;,CAPÃO REDONDO,2148.0,999.0,314.0,651.0,244.0
-46.7589,-23.66836,6000.0,EE. OCTALLES MARCONDES FERREIRA,373.0,JARDIM VAZ DE LIMA,"RUA DANCA DE ANITRA, 01, São Paulo",Da 122ª à 136ª; 244ª;,CAPÃO REDONDO,2179.0,981.0,270.0,507.0,222.0
-46.729874,-23.668118,6060.0,COLÉGIO COMENDADOR ELIAS ZARZUR,372.0,PARQUE ALVES DE LIMA,"AV. FRANCISCO NÓBREGA BARBOSA, 76/160, São Paulo",207ª; 221ª; 235ª; 244ª; 261ª; 272ª; 280ª; 283ª; 293ª; 307ª; 331ª; 425ª; 465ª; 497ª; 526ª; 579ª; 635ª; 654ª;,PIRAPORINHA,6715.0,661.0,243.0,531.0,236.0
-46.642399,-23.667851,7420.0,EE. PROFESSORA MARIA AUGUSTA DE MORAES NEVES,320.0,AMERICANÓPOLIS,"RUA HUGO VÍTOR DA SILVA, 508, São Paulo",Da 277ª à 291ª; 308ª; 311ª; 313ª; 316ª;,JABAQUARA,5508.0,1061.0,217.0,722.0,310.0
-46.656757,-23.667669,5773.0,EE. PROF. JUVENTINA PATRICIA SANT'ANNA,351.0,CIDADE ADEMAR,"RUA ENGENHEIRO EMILIO SAAD, 50, São Paulo",Da 1ª à 14ª; 696ª;,CIDADE ADEMAR,801.0,667.0,264.0,606.0,387.0
